danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album,year,artist,album_popularity
0.663,0.482,1,-12.093,1,0.0479,0.186,0,0.0521,0.314,144.13,audio_features,7C0rG4oWO7VeZcffyW1sK9,spotify:track:7C0rG4oWO7VeZcffyW1sK9,https://api.spotify.com/v1/tracks/7C0rG4oWO7VeZcffyW1sK9,https://api.spotify.com/v1/audio-analysis/7C0rG4oWO7VeZcffyW1sK9,328707,4,Mr. Roboto,Kilroy Was Here,1983,Styx,53
0.693,0.584,7,-12.396,0,0.0366,0.0471,0,0.358,0.815,140.672,audio_features,7jdzqJROITSw3AUZYUKR4G,spotify:track:7jdzqJROITSw3AUZYUKR4G,https://api.spotify.com/v1/tracks/7jdzqJROITSw3AUZYUKR4G,https://api.spotify.com/v1/audio-analysis/7jdzqJROITSw3AUZYUKR4G,267027,4,Cold War,Kilroy Was Here,1983,Styx,53
0.41,0.24,1,-14.55,1,0.0318,0.318,2e-06,0.0741,0.167,112.808,audio_features,0huaODTI1xKsfJJk8EJEkf,spotify:track:0huaODTI1xKsfJJk8EJEkf,https://api.spotify.com/v1/tracks/0huaODTI1xKsfJJk8EJEkf,https://api.spotify.com/v1/audio-analysis/0huaODTI1xKsfJJk8EJEkf,296107,4,Don't Let It End,Kilroy Was Here,1983,Styx,53
0.685,0.506,1,-12.09,1,0.0389,0.0765,0,0.108,0.913,121.449,audio_features,3L6QNpfmdYuIG1ey3RqMDb,spotify:track:3L6QNpfmdYuIG1ey3RqMDb,https://api.spotify.com/v1/tracks/3L6QNpfmdYuIG1ey3RqMDb,https://api.spotify.com/v1/audio-analysis/3L6QNpfmdYuIG1ey3RqMDb,273027,4,High Time,Kilroy Was Here,1983,Styx,53
0.302,0.729,5,-11.357,1,0.0482,0.0031,1.64e-05,0.675,0.559,79.735,audio_features,3t3GVcoiHTVaFlULmFltut,spotify:track:3t3GVcoiHTVaFlULmFltut,https://api.spotify.com/v1/tracks/3t3GVcoiHTVaFlULmFltut,https://api.spotify.com/v1/audio-analysis/3t3GVcoiHTVaFlULmFltut,297401,4,Heavy Metal Poisoning,Kilroy Was Here,1983,Styx,53
0.327,0.315,9,-15.807,0,0.0329,0.366,1.22e-06,0.0447,0.0961,95.152,audio_features,3T68QuCd1neAsLURCSveGH,spotify:track:3T68QuCd1neAsLURCSveGH,https://api.spotify.com/v1/tracks/3T68QuCd1neAsLURCSveGH,https://api.spotify.com/v1/audio-analysis/3T68QuCd1neAsLURCSveGH,366933,4,Just Get Through This Night,Kilroy Was Here,1983,Styx,53
0.672,0.34,0,-15.154,1,0.0348,0.0965,0,0.123,0.407,104.819,audio_features,6PLWS2ybRcCUQIQsNWgwCm,spotify:track:6PLWS2ybRcCUQIQsNWgwCm,https://api.spotify.com/v1/tracks/6PLWS2ybRcCUQIQsNWgwCm,https://api.spotify.com/v1/audio-analysis/6PLWS2ybRcCUQIQsNWgwCm,226333,4,Double Life,Kilroy Was Here,1983,Styx,53
0.347,0.26,11,-12.735,0,0.0304,0.325,0,0.335,0.225,145.023,audio_features,0zagvII3tbt25HbQ9ZJHI6,spotify:track:0zagvII3tbt25HbQ9ZJHI6,https://api.spotify.com/v1/tracks/0zagvII3tbt25HbQ9ZJHI6,https://api.spotify.com/v1/audio-analysis/0zagvII3tbt25HbQ9ZJHI6,246560,3,Haven't We Been Here Before?,Kilroy Was Here,1983,Styx,53
0.305,0.753,6,-12.238,1,0.0493,0.118,0,0.25,0.197,162.073,audio_features,443xdtYEYS73IYRhZqEVEv,spotify:track:443xdtYEYS73IYRhZqEVEv,https://api.spotify.com/v1/tracks/443xdtYEYS73IYRhZqEVEv,https://api.spotify.com/v1/audio-analysis/443xdtYEYS73IYRhZqEVEv,142533,4,Don't Let It End,Kilroy Was Here,1983,Styx,53
0.337,0.124,9,-28.22,1,0.0483,0.993,0.9,0.087,0.865,111.683,audio_features,7EpnrEyIzuSgyee4AANsQ5,spotify:track:7EpnrEyIzuSgyee4AANsQ5,https://api.spotify.com/v1/tracks/7EpnrEyIzuSgyee4AANsQ5,https://api.spotify.com/v1/audio-analysis/7EpnrEyIzuSgyee4AANsQ5,133000,4,English Suite No.1 in A major BWV 806: 1. Prélude,The English Suites; Suites Nos.1 - 6,1988,Johann Sebastian Bach,33
