danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album,year,artist,album_popularity
0.215,0.444,1,-16.014,1,0.0485,0.92,0.999,0.793,0.0376,47.796,audio_features,3YCsdyb6McJe5VDtycTvf2,spotify:track:3YCsdyb6McJe5VDtycTvf2,https://api.spotify.com/v1/tracks/3YCsdyb6McJe5VDtycTvf2,https://api.spotify.com/v1/audio-analysis/3YCsdyb6McJe5VDtycTvf2,41093,4,Human (Intro),Morbid Tales,1984,Celtic Frost,39
0.146,0.962,11,-7.394,0,0.0763,1.84e-06,0.876,0.59,0.26,169.561,audio_features,4xQO8MVtFZOW2KJMBuAB2p,spotify:track:4xQO8MVtFZOW2KJMBuAB2p,https://api.spotify.com/v1/tracks/4xQO8MVtFZOW2KJMBuAB2p,https://api.spotify.com/v1/audio-analysis/4xQO8MVtFZOW2KJMBuAB2p,219173,4,Into the Crypts of Rays,Morbid Tales,1984,Celtic Frost,39
0.181,0.926,2,-7.303,1,0.0588,1.15e-06,0.916,0.0792,0.163,154.723,audio_features,4UUCdlHYcQifK8x8qcK3ca,spotify:track:4UUCdlHYcQifK8x8qcK3ca,https://api.spotify.com/v1/tracks/4UUCdlHYcQifK8x8qcK3ca,https://api.spotify.com/v1/audio-analysis/4UUCdlHYcQifK8x8qcK3ca,288933,4,Visions of Mortality,Morbid Tales,1984,Celtic Frost,39
0.258,0.905,4,-7.576,1,0.0541,3.69e-06,0.894,0.0544,0.157,136.104,audio_features,7LW3MsXbEkJPXcEoiRoFd5,spotify:track:7LW3MsXbEkJPXcEoiRoFd5,https://api.spotify.com/v1/tracks/7LW3MsXbEkJPXcEoiRoFd5,https://api.spotify.com/v1/audio-analysis/7LW3MsXbEkJPXcEoiRoFd5,278000,4,Dethroned Emperor,Morbid Tales,1984,Celtic Frost,39
0.179,0.943,11,-7.104,0,0.045,1.02e-06,0.881,0.145,0.499,141.511,audio_features,0kLm1VTFWFSzmMmcSy7zOz,spotify:track:0kLm1VTFWFSzmMmcSy7zOz,https://api.spotify.com/v1/tracks/0kLm1VTFWFSzmMmcSy7zOz,https://api.spotify.com/v1/audio-analysis/0kLm1VTFWFSzmMmcSy7zOz,208733,4,Morbid Tales,Morbid Tales,1984,Celtic Frost,39
0.269,0.755,11,-7.14,0,0.0297,2.69e-06,0.641,0.0704,0.246,185.314,audio_features,1RyEhDluS4uImGan8BuoRh,spotify:track:1RyEhDluS4uImGan8BuoRh,https://api.spotify.com/v1/tracks/1RyEhDluS4uImGan8BuoRh,https://api.spotify.com/v1/audio-analysis/1RyEhDluS4uImGan8BuoRh,244867,4,Procreation (Of the Wicked),Morbid Tales,1984,Celtic Frost,39
0.355,0.929,10,-6.58,0,0.036,2.98e-06,0.744,0.225,0.317,134.726,audio_features,05SuNMmlaYKRbJaN3QZMDg,spotify:track:05SuNMmlaYKRbJaN3QZMDg,https://api.spotify.com/v1/tracks/05SuNMmlaYKRbJaN3QZMDg,https://api.spotify.com/v1/audio-analysis/05SuNMmlaYKRbJaN3QZMDg,247667,4,Return to the Eve,Morbid Tales,1984,Celtic Frost,39
0.195,0.804,1,-11.273,1,0.0837,0.388,0.00064,0.288,0.0324,82.361,audio_features,56iyJoi7vW5rKgZwWD4S8v,spotify:track:56iyJoi7vW5rKgZwWD4S8v,https://api.spotify.com/v1/tracks/56iyJoi7vW5rKgZwWD4S8v,https://api.spotify.com/v1/audio-analysis/56iyJoi7vW5rKgZwWD4S8v,231667,4,Danse Macabre,Morbid Tales,1984,Celtic Frost,39
0.242,0.966,2,-6.51,1,0.109,4.22e-06,0.571,0.383,0.187,99.048,audio_features,7FdTmlyMf8VOl9oMDpc6Xw,spotify:track:7FdTmlyMf8VOl9oMDpc6Xw,https://api.spotify.com/v1/tracks/7FdTmlyMf8VOl9oMDpc6Xw,https://api.spotify.com/v1/audio-analysis/7FdTmlyMf8VOl9oMDpc6Xw,218267,4,Nocturnal Fear,Morbid Tales,1984,Celtic Frost,39
0.165,0.917,9,-9.226,1,0.0606,8.81e-05,0.955,0.36,0.227,85.747,audio_features,4PAsYAQCAm5pNPPtqIZmwF,spotify:track:4PAsYAQCAm5pNPPtqIZmwF,https://api.spotify.com/v1/tracks/4PAsYAQCAm5pNPPtqIZmwF,https://api.spotify.com/v1/audio-analysis/4PAsYAQCAm5pNPPtqIZmwF,268733,4,Circle of the Tyrants - Emperor's Return EP,Morbid Tales,1984,Celtic Frost,39
0.218,0.965,4,-8.559,0,0.1,8.13e-05,0.959,0.202,0.187,108.53,audio_features,1ldxic47VuJpMJ9U3B9l6K,spotify:track:1ldxic47VuJpMJ9U3B9l6K,https://api.spotify.com/v1/tracks/1ldxic47VuJpMJ9U3B9l6K,https://api.spotify.com/v1/audio-analysis/1ldxic47VuJpMJ9U3B9l6K,253293,4,Visual Aggression (Emperor's Return EP),Morbid Tales,1984,Celtic Frost,39
0.248,0.953,4,-8.53,1,0.0684,2.92e-05,0.969,0.34,0.387,91.452,audio_features,2SkuRscJnIVP2sKhPUGZUQ,spotify:track:2SkuRscJnIVP2sKhPUGZUQ,https://api.spotify.com/v1/tracks/2SkuRscJnIVP2sKhPUGZUQ,https://api.spotify.com/v1/audio-analysis/2SkuRscJnIVP2sKhPUGZUQ,276067,4,Suicidal Winds (Emperor's Return EP),Morbid Tales,1984,Celtic Frost,39
0.324,0.837,10,-10.142,0,0.101,1.83e-06,0.944,0.0882,0.635,103.928,audio_features,6Z2McHf57ikVCiAkWvicg1,spotify:track:6Z2McHf57ikVCiAkWvicg1,https://api.spotify.com/v1/tracks/6Z2McHf57ikVCiAkWvicg1,https://api.spotify.com/v1/audio-analysis/6Z2McHf57ikVCiAkWvicg1,265893,4,Pierced from Within,Pierced From Within,1995,Suffocation,36
0.308,0.879,8,-10.638,0,0.0874,2.09e-06,0.926,0.115,0.631,137.012,audio_features,4bQcckDpE6MzROoP7fhErj,spotify:track:4bQcckDpE6MzROoP7fhErj,https://api.spotify.com/v1/tracks/4bQcckDpE6MzROoP7fhErj,https://api.spotify.com/v1/audio-analysis/4bQcckDpE6MzROoP7fhErj,314933,4,Thrones of Blood,Pierced From Within,1995,Suffocation,36
0.283,0.849,1,-10.349,1,0.102,3.45e-06,0.939,0.179,0.592,103.569,audio_features,3MiaEKkBa1QrIH8se9ElJu,spotify:track:3MiaEKkBa1QrIH8se9ElJu,https://api.spotify.com/v1/tracks/3MiaEKkBa1QrIH8se9ElJu,https://api.spotify.com/v1/audio-analysis/3MiaEKkBa1QrIH8se9ElJu,333000,4,Depths of Depravity,Pierced From Within,1995,Suffocation,36
0.311,0.793,8,-10.381,0,0.126,2.41e-06,0.943,0.0718,0.737,100.396,audio_features,4XLxPiHbZu1i7oZs2jGQnS,spotify:track:4XLxPiHbZu1i7oZs2jGQnS,https://api.spotify.com/v1/tracks/4XLxPiHbZu1i7oZs2jGQnS,https://api.spotify.com/v1/audio-analysis/4XLxPiHbZu1i7oZs2jGQnS,391107,4,Suspended in Tribulation,Pierced From Within,1995,Suffocation,36
